image_path,cluster_id,emotion
final_dataset\angry_1012.jpg,0,Surprised
final_dataset\angry_1002.jpg,2,Neutral
final_dataset\angry_1.jpg,0,Surprised
final_dataset\angry_1030.jpg,0,Surprised
final_dataset\angry_1027.jpg,0,Surprised
final_dataset\angry_0.jpg,4,Calm
final_dataset\angry_1001.jpg,2,Neutral
final_dataset\angry_1000.jpg,4,Calm
final_dataset\angry_1033.jpg,1,Stressed
final_dataset\angry_1019.jpg,4,Calm
final_dataset\angry_1010.jpg,4,Calm
final_dataset\angry_1026.jpg,5,Sad
final_dataset\angry_1015.jpg,0,Surprised
final_dataset\angry_100.jpg,4,Calm
final_dataset\angry_1006.jpg,4,Calm
final_dataset\angry_101.jpg,2,Neutral
final_dataset\angry_1017.jpg,4,Calm
final_dataset\angry_1025.jpg,1,Stressed
final_dataset\angry_102.jpg,4,Calm
final_dataset\angry_1032.jpg,2,Neutral
final_dataset\angry_1009.jpg,1,Stressed
final_dataset\angry_10.jpg,1,Stressed
final_dataset\angry_1013.jpg,5,Sad
final_dataset\angry_1029.jpg,4,Calm
final_dataset\angry_1021.jpg,2,Neutral
final_dataset\angry_1028.jpg,2,Neutral
final_dataset\angry_103.jpg,1,Stressed
final_dataset\angry_1016.jpg,1,Stressed
final_dataset\angry_1003.jpg,2,Neutral
final_dataset\angry_1011.jpg,0,Surprised
final_dataset\angry_1024.jpg,5,Sad
final_dataset\angry_1005.jpg,6,Happy
final_dataset\angry_1008.jpg,2,Neutral
final_dataset\angry_1022.jpg,0,Surprised
final_dataset\angry_1023.jpg,5,Sad
final_dataset\angry_1007.jpg,3,Angry
final_dataset\angry_1031.jpg,6,Happy
final_dataset\angry_1004.jpg,6,Happy
final_dataset\angry_1018.jpg,4,Calm
final_dataset\angry_1014.jpg,4,Calm
final_dataset\angry_1020.jpg,4,Calm
final_dataset\angry_1037.jpg,2,Neutral
final_dataset\angry_104.jpg,4,Calm
final_dataset\angry_1038.jpg,5,Sad
final_dataset\angry_1040.jpg,0,Surprised
final_dataset\angry_1039.jpg,0,Surprised
final_dataset\angry_1035.jpg,0,Surprised
final_dataset\angry_1036.jpg,4,Calm
final_dataset\angry_1034.jpg,0,Surprised
final_dataset\angry_1041.jpg,2,Neutral
final_dataset\angry_1048.jpg,4,Calm
final_dataset\angry_1044.jpg,4,Calm
final_dataset\angry_1042.jpg,2,Neutral
final_dataset\angry_1046.jpg,4,Calm
final_dataset\angry_1043.jpg,1,Stressed
final_dataset\angry_105.jpg,1,Stressed
final_dataset\angry_1049.jpg,4,Calm
final_dataset\angry_1047.jpg,2,Neutral
final_dataset\angry_1054.jpg,3,Angry
final_dataset\angry_1052.jpg,4,Calm
final_dataset\angry_1045.jpg,3,Angry
final_dataset\angry_1057.jpg,3,Angry
final_dataset\angry_1051.jpg,0,Surprised
final_dataset\angry_1050.jpg,6,Happy
final_dataset\angry_1053.jpg,6,Happy
final_dataset\angry_1055.jpg,1,Stressed
final_dataset\angry_1058.jpg,0,Surprised
final_dataset\angry_1056.jpg,0,Surprised
final_dataset\angry_1059.jpg,1,Stressed
final_dataset\angry_1062.jpg,2,Neutral
final_dataset\angry_106.jpg,3,Angry
final_dataset\angry_1063.jpg,0,Surprised
final_dataset\angry_1061.jpg,4,Calm
final_dataset\angry_1060.jpg,1,Stressed
final_dataset\angry_1064.jpg,1,Stressed
final_dataset\angry_1069.jpg,2,Neutral
final_dataset\angry_1065.jpg,0,Surprised
final_dataset\angry_1066.jpg,0,Surprised
final_dataset\angry_1067.jpg,1,Stressed
final_dataset\angry_1068.jpg,5,Sad
final_dataset\angry_1070.jpg,4,Calm
final_dataset\angry_107.jpg,0,Surprised
final_dataset\angry_1072.jpg,2,Neutral
final_dataset\angry_1071.jpg,6,Happy
final_dataset\angry_1075.jpg,4,Calm
final_dataset\angry_1073.jpg,4,Calm
final_dataset\angry_1074.jpg,2,Neutral
final_dataset\angry_1077.jpg,2,Neutral
final_dataset\angry_1076.jpg,1,Stressed
final_dataset\angry_1080.jpg,5,Sad
final_dataset\angry_1084.jpg,2,Neutral
final_dataset\angry_1078.jpg,0,Surprised
final_dataset\angry_1079.jpg,4,Calm
final_dataset\angry_108.jpg,2,Neutral
final_dataset\angry_1081.jpg,0,Surprised
final_dataset\angry_1082.jpg,4,Calm
final_dataset\angry_1087.jpg,2,Neutral
final_dataset\angry_1083.jpg,2,Neutral
final_dataset\angry_1085.jpg,3,Angry
final_dataset\angry_1086.jpg,2,Neutral
final_dataset\angry_1091.jpg,2,Neutral
final_dataset\angry_1088.jpg,0,Surprised
final_dataset\angry_109.jpg,1,Stressed
final_dataset\angry_1089.jpg,4,Calm
final_dataset\angry_1090.jpg,3,Angry
final_dataset\angry_1092.jpg,0,Surprised
final_dataset\angry_1094.jpg,4,Calm
final_dataset\angry_1097.jpg,6,Happy
final_dataset\angry_1093.jpg,4,Calm
final_dataset\angry_1095.jpg,2,Neutral
final_dataset\angry_1096.jpg,5,Sad
final_dataset\angry_1099.jpg,0,Surprised
final_dataset\angry_1098.jpg,1,Stressed
final_dataset\angry_1103.jpg,1,Stressed
final_dataset\angry_11.jpg,2,Neutral
final_dataset\angry_1102.jpg,0,Surprised
final_dataset\angry_1100.jpg,2,Neutral
final_dataset\angry_110.jpg,2,Neutral
final_dataset\angry_1101.jpg,1,Stressed
final_dataset\angry_1105.jpg,1,Stressed
final_dataset\angry_1104.jpg,0,Surprised
final_dataset\angry_1106.jpg,4,Calm
final_dataset\angry_1107.jpg,0,Surprised
final_dataset\angry_1108.jpg,2,Neutral
final_dataset\angry_1109.jpg,2,Neutral
final_dataset\angry_1110.jpg,0,Surprised
final_dataset\angry_1114.jpg,4,Calm
final_dataset\angry_111.jpg,4,Calm
final_dataset\angry_1111.jpg,4,Calm
final_dataset\angry_1113.jpg,0,Surprised
final_dataset\angry_1116.jpg,2,Neutral
final_dataset\angry_1112.jpg,0,Surprised
final_dataset\angry_1115.jpg,4,Calm
final_dataset\angry_1117.jpg,2,Neutral
final_dataset\angry_1119.jpg,4,Calm
final_dataset\angry_1118.jpg,2,Neutral
final_dataset\angry_112.jpg,1,Stressed
final_dataset\angry_1120.jpg,1,Stressed
final_dataset\angry_1121.jpg,2,Neutral
final_dataset\angry_1122.jpg,4,Calm
final_dataset\angry_1126.jpg,0,Surprised
final_dataset\angry_1123.jpg,4,Calm
final_dataset\angry_1124.jpg,4,Calm
final_dataset\angry_1125.jpg,4,Calm
final_dataset\angry_1128.jpg,5,Sad
final_dataset\angry_1127.jpg,1,Stressed
final_dataset\angry_1130.jpg,2,Neutral
final_dataset\angry_1132.jpg,2,Neutral
final_dataset\angry_1131.jpg,6,Happy
final_dataset\angry_1135.jpg,4,Calm
final_dataset\angry_1129.jpg,1,Stressed
final_dataset\angry_113.jpg,2,Neutral
final_dataset\angry_1138.jpg,0,Surprised
final_dataset\angry_1133.jpg,4,Calm
final_dataset\angry_1134.jpg,0,Surprised
final_dataset\angry_1136.jpg,4,Calm
final_dataset\angry_1140.jpg,3,Angry
final_dataset\angry_1137.jpg,1,Stressed
final_dataset\angry_1139.jpg,2,Neutral
final_dataset\angry_1145.jpg,1,Stressed
final_dataset\angry_114.jpg,6,Happy
final_dataset\angry_1142.jpg,2,Neutral
final_dataset\angry_1144.jpg,2,Neutral
final_dataset\angry_1141.jpg,2,Neutral
final_dataset\angry_1146.jpg,2,Neutral
final_dataset\angry_1143.jpg,4,Calm
final_dataset\angry_1147.jpg,4,Calm
final_dataset\angry_1153.jpg,0,Surprised
final_dataset\angry_1150.jpg,3,Angry
final_dataset\angry_1148.jpg,5,Sad
final_dataset\angry_1149.jpg,2,Neutral
final_dataset\angry_1152.jpg,0,Surprised
final_dataset\angry_1151.jpg,5,Sad
final_dataset\angry_115.jpg,4,Calm
final_dataset\angry_1155.jpg,1,Stressed
final_dataset\angry_1159.jpg,2,Neutral
final_dataset\angry_1158.jpg,4,Calm
final_dataset\angry_1161.jpg,2,Neutral
final_dataset\angry_1154.jpg,2,Neutral
final_dataset\angry_116.jpg,4,Calm
final_dataset\angry_1156.jpg,5,Sad
final_dataset\angry_1157.jpg,1,Stressed
final_dataset\angry_1160.jpg,4,Calm
final_dataset\angry_1165.jpg,4,Calm
final_dataset\angry_1162.jpg,5,Sad
final_dataset\angry_1167.jpg,2,Neutral
final_dataset\angry_1163.jpg,1,Stressed
final_dataset\angry_1166.jpg,2,Neutral
final_dataset\angry_1164.jpg,2,Neutral
final_dataset\angry_1169.jpg,4,Calm
final_dataset\angry_1170.jpg,2,Neutral
final_dataset\angry_117.jpg,2,Neutral
